payee_name,agency,zip_code,amount,payment_description
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,269.98,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,77.7,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,77.7,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,294.91,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,15.88,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,48.19,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,51.64,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,159.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,283.38,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,152.96,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,372.81,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,2.31,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,152.96,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,89.05,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,262.89,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,147.76,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,95.9,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.83,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,383.01,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,146.11,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,89.85,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,262.83,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,254.21,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,75.35,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,146.11,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,PUBLIC WORKS & TRANSPORTATION,20785,-146.11,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,-349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,44.46,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,26.26,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,POLICE,20785,23.8,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,48.19,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,POLICE,20785,14.26,OTHER GENERAL AND ADMINISTRATIVE CONTRACT SERVICES
UNIFIRST,CENTRAL SERVICES,20785,349.71,UNIFORMS/WORK CLOTHES/ACCESSORIES
UNIFIRST,CENTRAL SERVICES,20785,78.06,UNIFORMS/WORK CLOTHES/ACCESSORIES
